club,handle,status,post_date,post_timestamp,likes,comments,reposts,collaborators,collab_count,caption,severity,post_url,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2026-03-24,2026-03-24T15:59:10+00:00,82,2,0,"asacolumbia, cuafropolitan",2,"We’re proud to finally present the official poster for Afropolitan 2026!  This year, we invite you to experience “The Spirit of Africa” — a theme that celebrates cultural legacy, creativity, and the richness of the continent in a way you won’t forget.  Join us Sunday, April 12th at Roone Auditorium. Doors open at 6:45 PM.  So much intention, time, and passion has gone into bringing this vision to life, and this poster is just the b",0,https://www.instagram.com/p/DWRc8tniod_/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,,,,,,,0,"3 mattrking Yo Gotti · Rake It Up (feat. Nicki Minaj)   Yo Gotti · Rake It Up (feat. Nicki Minaj)   Follow idk what i was thinking 2,469 7 16 keepearthvintage Dominic Fike · White Keys   Dominic Fike · White Keys   Follow This is a joke….kind of 🫠 161 39 lifeofmarinnyc Follow SOS #engaged Likes amanda.muse katehudson Follow she is SO sweet!! @katehudson #ucla #lakergame #katehudson #wbb #bruins … more 2,473 21 30 Get showtimes 20thcenturystudios Follow The Devil Wears Prada 2, only in theaters M",0,https://www.instagram.com/reel/Byoc3A7Fwu8/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,,,,,,,0,"3 nglwithkylie 2 people Follow Where did she get THOSE bracelets?? 😭 34.2K 151 172 goodmorningamerica 3 people Follow What does the future look like for @whitleavitt on ""The Secret Lives of Mormon Wives""? 👀 … more 2,332 13 26 pagesix virtualrealitea Follow Amanda was SCARED when Ben asked her to chat during last night's ""Summer House"" episode 😳 🎥: ""Summer House""/Peacock … more 779 42 5 foldeyoga trucky · win again (slowed)   trucky · win again (slowed)   Follow We posted a video like this last y",0,https://www.instagram.com/reel/CHoT34MlhQJ/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2024-10-19,2024-10-19T03:55:36+00:00,34,0,0,asacolumbia,1,"We know midterm season is tough. And we are all desperately in need of a study break.   Stop by at ASA’s MILO Coffeehouse on Monday evening to ease the tension with other struggling students over a mug of hot chocolate and delicious snacks!  #columbia #africanstudentassociation #columbiaasa #milo #milo #coffee #midtermszn No comments yet. Start the conversation. 34 October 18, 2024 More posts from asacolumbia Meta About Blog Jobs Help API Privacy Consumer H",0,https://www.instagram.com/p/DBSpj_fOSjg/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2026-03-25,2026-03-25T04:46:18+00:00,34,2,0,"asacolumbia, mansacolumbia, cu.muslimprelaw",3,"Join Muslim Pre-Law Society, MANSA, and ASA for a henna social THIS Thursday from 8-9:30 PM in the Boss Lounge!! Come get your henna done before Eid Banquet on Friday and enjoy some snacks and chai!! See you there!! No comments yet. Start the conversation. 34 2 March 25 More posts from cu.muslimprelaw Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact U",0,https://www.instagram.com/p/DWS2KYzGBuh/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2025-10-27,2025-10-27T03:14:20+00:00,33,0,0,asacolumbia,1,"Think you can spot the odd one out? 👀 Come join ASA for a game night inspired by Jubilee’s Odd One Out! We’ve got rounds like ‘Guess who’s not Nigerian,’ ‘Guess who’s premed,’ ‘Guess who’s international,’ and more. You don’t wanna miss this one ‼️ No comments yet. Start the conversation. 33 October 26, 2025 More posts from asacolumbia Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploadi",0,https://www.instagram.com/p/DQTBWFsjcJg/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,,,,,,,0,3 casualchaoswithgia 3 people Follow @jessesols’s voice got him his first brand deal after being fired … more 549 13 3 squiiiidd Follow Pls engage with it bc I really did try to come prepared & have puppy content at the ready while I’m gone this is not my fault got a text & it turned off the camera sh my head bc this was such a cute moment he loves baking with me😭🩵 … more Likes 14 2 sam.loves.styles Follow Seriously can’t trust anyone I guess … more 47 1 charlisse.legerwalker uclawbb Follow How,0,https://www.instagram.com/reel/nj6znKk5Rr/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2025-11-14,2025-11-14T23:39:36+00:00,67,2,0,"asacolumbia, Edited",2,"African Thanksgiving is back! Join ASA for a night of food, music, and community as we come together to celebrate Thanksgiving our way. 🌍  Expect good vibes, great people, and plates full of your favorite dishes from across the continent. Make sure to RSVP at the link in bio, there are limited seats! No comments yet. Start the conversation. 67 2 November 5, 2025 More posts from asacolumbia Meta About Blog Jobs Help API Privacy Consumer Health Priva",0,https://www.instagram.com/p/DQr-z9nifO-/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2024-11-05,2024-11-05T22:12:46+00:00,17,0,0,"asacolumbia, Edited",2,"You don't want to miss this! Join ASA for a film screening of one of the most wholesome African films of the past decade. Make sure to tell your friends so you can all enjoy a wonderful film and great snacks!!!  BE SURE TO REGISTER FOR TICKETS AT THIS LINK:  https://posh.vip/e/asa-movie-night-2 No comments yet. Start the conversation. 17 November 5, 2024 More posts from asacolumbia Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms",0,https://www.instagram.com/p/DCAYBjSuDK1/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2023-11-15,2023-11-15T23:06:53+00:00,29,0,0,asacolumbia,1,"On November 20th, we are hosting our first Freshman Mentorship Initiative! This is an amazing opportunity for freshmen in CC, GS, Barnard, and SEAS to receive personal mentorship in their field of study. To register, please complete the google form. Looking forward to seeing you all there! No comments yet. Start the conversation. 29 November 15, 2023 More posts from asacolumbia Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations I",0,https://www.instagram.com/p/Czrz1lhOwsB/,,,,,,,,,,,,
